#Offered Load (mpps)	avg actual mpps sent	RTT Median (us)	RTT 99th perc.	Avg. CPU Load (cycles)	CPU Load StdDev (cycles)	Interrupts (kHz)
x	load_avg	rtt0	rtt1	rtt2	rtt3	rtt4	cycles_avg	cycles_stderr	rtt_nsamples	nsent	nrecvd	frecvd	irq_avg	irq_stderr	itr_avg	itr_stderr	cycles_per_pkt
0	0	0	0	0	0	0	0.0008713568925270288	0.00031516093488783624	0	0	0	0	0.001224926893142551	8.290942928924744e-05	nan	nan	0	
0.1953125	0.19531235576923076	4.16	5.184	6.0288	9.024	16.256	0.47778879900848675	0.008340230857427975	195523	20370875	20566404	1.0095984585836397	209.63988103920616	5.068518224651656	nan	nan	8.072725509444691	
0.2734375	0.2734620288461537	4.096	4.6848	5.1456	5.5296	6.2463999999999995	0.921018689897944	0.0020830802894959014	196058	28545141	28729679	1.0064647780159852	402.57772446084095	0.24295047500611908	nan	nan	11.114382824875191	
0.3515625	0.3516157115384614	4.0704	4.5824	5.056	5.5552	6.6304	0.9907315606663668	0.0020105812526570073	196075	36710169	36891450	1.0049381684949474	424.18768523885086	8.686662754914849	nan	nan	9.298259556986226	
0.4296875	0.4296978557692309	4.032	4.5696	5.0048	5.4656	6.6304	0.9964228881811468	0.0012253039556554136	196044	44849715	45027695	1.003968364124499	441.4080954781581	19.395121165059802	nan	nan	7.652343354405074	
0.5078125	0.5079195961538459	4.0576	4.6208	5.1072	5.6576	6.7584	0.9967971956593145	0.0013523612460460928	195117	52827038	53022155	1.0036935063442323	386.4499168793569	11.486537746126377	nan	nan	6.476282408838954	
0.5859375	0.5860240576923084	4.0576	4.672	5.1328000000000005	5.6704	6.656	0.9997065275272278	1.5356300595849602e-06	195967	61143718	61311465	1.002743487074175	356.72420083231475	14.289433683008447	nan	nan	5.629515542128146	
0.6640625	0.6641748749999997	4.096	4.7488	5.248	5.8368	7.014399999999999	0.999716278949707	1.1948837107738626e-05	195902	69275142	69436808	1.00233367980682	325.30837683440336	17.864835999232263	nan	nan	4.967161277418142	
0.7421875	0.7422674038461536	4.096	4.723199999999999	5.1968000000000005	5.7728	6.9632	0.9997133776852342	2.980938615593959e-05	196300	77572013	77735290	1.002104844178789	319.6466474732274	15.224981004949928	nan	nan	4.444562874870702	
0.8203125	0.8207403269230773	4.1216	4.8128	5.312	5.913600000000001	7.1168000000000005	0.999717709744412	1.4354486664227368e-05	196305	85781030	85938838	1.0018396608201137	281.731415630637	8.199698628747552	nan	nan	4.019625128601437	
0.8984375	0.8986080288461546	4.1728000000000005	4.8511999999999995	5.3248	5.913600000000001	6.950399999999999	0.9997073262185214	3.021771628110612e-05	196525	94014041	94210566	1.0020903792445215	261.3655942358882	15.152413470340061	nan	nan	3.671271645276974	
0.9765625	0.9765343653846155	4.134399999999999	4.902399999999999	5.4272	6.0288	7.232	0.9997167705922393	6.542131745863959e-05	196521	102166824	102363345	1.001923530479914	245.50281284431026	13.911997646939179	nan	nan	3.378340240647883	
